# Previsioni dei sei metodi sui concorsi del 1973.
# giorno|metodo|ruote|colpi|anche_tutte|sorti|nota|avviso
19730106|ambosecco_caotico|BA,PA,FI|2|1|ambo:6-24;ambo:34-89|A=6 su BA/PA, B=84 su FI|
19730106|ambosecco_caotico|CA,NA,VE|2|1|ambo:26-71;ambo:71-87|A=29 su CA/NA, B=61 su VE|
19730106|ambosecco_caotico|FI,GE,MI|2|1|ambo:17-39;ambo:27-85|A=43 su FI/GE, B=47 su MI|
19730106|ambosecco_caotico|FI,GE,CA|2|1|ambo:50-74;ambo:74-84|A=56 su FI/GE, B=34 su CA|
19730106|lottofacile1|BA,FI|6|0|ambata:18;ambo:18-70;ambo:7-18;terzina:7-18-70|pos 3-4 somma 20|
19730106|lottofacile1|BA,PA|6|0|ambata:66;ambo:22-66;ambo:29-66;terzina:22-29-66|pos 2-3 somma 68|
19730106|lottofacile1|CA,NA|6|0|ambata:30;ambo:21-30;ambo:12-30;terzina:12-21-30|pos 4-5 somma 69|
19730106|lottofacile1|CA,PA|6|0|ambata:70;ambo:70-81;ambo:18-70;terzina:18-70-81|pos 3-5 somma 9|
19730106|lottofacile1|NA,RM|6|0|ambata:88;ambo:70-88;ambo:7-88;terzina:7-70-88|pos 1-2 somma 20|
19730113|ambosecco_caotico|BA,RM,GE|2|1|ambo:26-71;ambo:71-87|A=29 su BA/RM, B=61 su GE|
19730113|ambosecco_caotico|BA,MI,GE|2|1|ambo:42-73;ambo:73-85|A=47 su BA/MI, B=43 su GE|
19730113|ambosecco_caotico|CA,TO,PA|2|1|ambo:3-16;ambo:13-88|A=17 su CA/TO, B=73 su PA|
19730113|ambosecco_caotico|NA,RM,PA|2|1|ambo:6-24;ambo:34-89|A=6 su NA/RM, B=84 su PA|
19730113|ambosecco_caotico|NA,TO,MI|2|1|ambo:27-30;ambo:37-86|A=33 su NA/TO, B=57 su MI|
19730113|lottofacile5|BA|9|0|ambata:78;ambo:43-78;ambo:78-88;quartina:13-43-73-78;quartina:28-58-78-88|rilevamento 26-71|potenza ridotta: ambata uscita negli ultimi 6 concorsi
19730113|lottofacile1|CA,GE|6|0|ambata:86;ambo:76-86;ambo:67-86;terzina:67-76-86|pos 2-4 somma 14|
19730113|lottofacile4|GE,PA|14|1|ambata:65;ambo:20-65;ambo:5-65;ambo:35-65;terzina:5-20-35|pos 2-5 verticale|
19730113|lottofacile1|GE,PA|6|0|ambata:78;ambo:33-78;ambo:39-78;terzina:33-39-78|pos 1-3 somma 57|
19730113|lottofacile1|GE,PA|6|0|ambata:56;ambo:56-85;ambo:56-58;terzina:56-58-85|pos 2-5 somma 5|
19730113|fulmine|NA,PA|12|0|ambata:73;ambo:23-73;ambo:33-73;ambo:63-73;quartina:23-33-63-73|cadenza, coppie ((23, 73), (33, 63))|
19730113|lottofacile1|PA,RM|6|0|ambata:58;ambo:55-58;ambo:58-59;terzina:55-58-59|pos 1-4 somma 35|
19730113|lottofacile1|RM,VE|6|0|ambata:60;ambo:59-60;ambo:55-60;terzina:55-59-60|pos 2-5 somma 31|
19730120|ambosecco_caotico|CA,NA,PA|2|1|ambo:4-24;ambo:14-87|A=26 su CA/NA, B=64 su PA|
19730120|ambosecco_caotico|FI,NA,VE,MI|2|1|ambo:11-58;ambo:68-88|A=12 su FI/NA/VE, B=78 su MI|
19730120|ambosecco_caotico|FI,PA,TO,NA|2|1|ambo:28-38;ambo:38-85|A=42 su FI/PA/TO, B=48 su NA|
19730120|ambosecco_caotico|NA,TO,GE|2|1|ambo:59-64;ambo:64-83|A=66 su NA/TO, B=24 su GE|
19730120|lottofacile5|VE|9|0|ambata:75;ambo:62-75;ambo:17-75;quartina:2-32-62-75;quartina:17-47-75-77|rilevamento 13-58|potenza ridotta: ambata uscita negli ultimi 6 concorsi
19730120|lottofacile1|BA,CA|6|0|ambata:52;ambo:35-52;ambo:52-53;terzina:35-52-53|pos 3-5 somma 55|
19730120|lottofacile1|CA,GE|6|0|ambata:58;ambo:58-78;ambo:58-87;terzina:58-78-87|pos 2-3 somma 12|
19730120|lottofacile1|CA,MI|6|0|ambata:6;ambo:6-64;ambo:6-46;terzina:6-46-64|pos 1-2 somma 26|
19730120|fulmine|CA,NA|12|0|ambata:76;ambo:36-76;ambo:26-76;ambo:66-76;quartina:26-36-66-76|cadenza, coppie ((76, 26), (36, 66))|
19730120|lottofacile4|FI,PA|14|1|ambata:55;ambo:10-55;ambo:55-85;ambo:25-55;terzina:10-25-85|pos 2-3 diagonale|
19730120|lottofacile1|FI,TO|6|0|ambata:40;ambo:21-40;ambo:12-40;terzina:12-21-40|pos 4-5 somma 69|
19730127|ambosecco_caotico|BA,RM,TO|2|1|ambo:29-46;ambo:39-84|A=51 su BA/RM, B=39 su TO|
19730127|ambosecco_caotico|PA,TO,VE|2|1|ambo:53-60;ambo:53-83|A=67 su PA/TO, B=23 su VE|
19730127|lottofacile5|FI|9|0|ambata:27;ambata:72;ambo:21-27;ambo:27-66;ambo:21-72;ambo:66-72;quartina:21-27-51-81;quartina:6-27-36-66;quartina:21-51-72-81;quartina:6-36-66-72|rilevamento 42-87|potenza ridotta: ambata uscita negli ultimi 6 concorsi
19730127|lottofacile5|GE|9|0|ambata:6;ambo:6-49;ambo:4-6;quartina:6-19-49-79;quartina:4-6-34-64|rilevamento 20-65|
19730127|lottofacile5|VE|9|0|ambata:60;ambata:15;ambo:60-82;ambo:37-60;ambo:15-82;ambo:15-37;quartina:22-52-60-82;quartina:7-37-60-67;quartina:15-22-52-82;quartina:7-15-37-67|rilevamento 23-68|
19730127|lottofacile1|BA,TO|6|0|ambata:78;ambo:76-78;ambo:67-78;terzina:67-76-78|pos 2-3 somma 14|
19730127|lottofacile4|CA,GE|14|1|ambata:39;ambo:39-84;ambo:39-69;ambo:9-39;terzina:9-69-84|pos 2-5 diagonale|
19730127|lottofacile1|CA,GE|6|0|ambata:50;ambo:50-69;ambo:50-66;terzina:50-66-69|pos 2-5 somma 21|
19730127|lottofacile1|NA,RM|6|0|ambata:64;ambo:64-84;ambo:48-64;terzina:48-64-84|pos 2-4 somma 6|
19730203|ambosecco_caotico|BA,RM,MI|2|1|ambo:33-83;ambo:83-86|A=37 su BA/RM, B=53 su MI|
19730203|ambosecco_caotico|CA,GE,FI,TO|2|1|ambo:43-62;ambo:62-85|A=48 su CA/GE, B=42 su FI/TO|
19730203|ambosecco_caotico|FI,TO,CA,GE|2|1|ambo:28-38;ambo:38-85|A=42 su FI/TO, B=48 su CA/GE|
19730203|ambosecco_caotico|FI,GE,VE|2|1|ambo:1-79;ambo:89-89|A=1 su FI/GE, B=89 su VE|
19730203|ambosecco_caotico|RM,VE,FI|2|1|ambo:58-75;ambo:75-83|A=65 su RM/VE, B=25 su FI|
19730203|lottofacile1|BA,VE|6|0|ambata:88;ambo:26-88;ambo:62-88;terzina:26-62-88|pos 1-2 somma 64|
19730203|lottofacile1|CA,VE|6|0|ambata:88;ambo:29-88;ambo:22-88;terzina:22-29-88|pos 1-4 somma 61|
19730203|lottofacile1|FI,NA|6|0|ambata:44;ambo:44-65;ambo:44-56;terzina:44-56-65|pos 2-3 somma 25|
19730203|lottofacile1|FI,TO|6|0|ambata:52;ambo:52-67;ambo:52-76;terzina:52-67-76|pos 3-4 somma 23|
19730203|lottofacile1|GE,MI|6|0|ambata:16;ambo:16-48;ambo:16-84;terzina:16-48-84|pos 1-2 somma 42|
19730203|lottofacile1|GE,TO|6|0|ambata:88;ambo:48-88;ambo:84-88;terzina:48-84-88|pos 1-2 somma 42|
19730203|lottofacile1|MI,TO|6|0|ambata:88;ambo:48-88;ambo:84-88;terzina:48-84-88|pos 1-2 somma 42|
19730203|lottofacile1|PA,VE|6|0|ambata:18;ambo:18-19;ambo:11-18;terzina:11-18-19|pos 3-4 somma 71|
19730203|lottofacile1|RM,TO|6|0|ambata:86;ambo:21-86;ambo:12-86;terzina:12-21-86|pos 2-3 somma 69|
19730210|ambosecco_caotico|CA,GE,NA,PA|2|1|ambo:31-62;ambo:31-83|A=69 su CA/GE/NA, B=21 su PA|
19730210|ambosecco_caotico|FI,MI,GE|2|1|ambo:15-23;ambo:25-87|A=25 su FI/MI, B=65 su GE|
19730210|lottofacile5|PA|9|0|ambata:3;ambo:3-38;ambo:3-83;quartina:3-8-38-68;quartina:3-23-53-83|rilevamento 19-64|
19730210|lottofacile1|BA,CA|6|0|ambata:62;ambo:35-62;ambo:53-62;terzina:35-53-62|pos 3-4 somma 55|
19730210|lottofacile1|CA,RM|6|0|ambata:32;ambo:7-32;ambo:32-70;terzina:7-32-70|pos 1-4 somma 83|
19730210|lottofacile1|FI,PA|6|0|ambata:38;ambo:11-38;ambo:19-38;terzina:11-19-38|pos 1-4 somma 79|
19730210|lottofacile1|MI,PA|6|0|ambata:84;ambo:78-84;ambo:84-87;terzina:78-84-87|pos 3-4 somma 12|
19730210|lottofacile1|NA,PA|6|0|ambata:38;ambo:38-74;ambo:38-47;terzina:38-47-74|pos 2-3 somma 16|
19730210|lottofacile4|PA,RM|14|1|ambata:49;ambo:4-49;ambo:49-79;ambo:19-49;terzina:4-19-79|pos 2-3 diagonale|
19730210|lottofacile1|RM,VE|6|0|ambata:80;ambo:80-86;ambo:68-80;terzina:68-80-86|pos 2-4 somma 4|
19730217|ambosecco_caotico|BA,FI,NA|2|1|ambo:33-78;ambo:33-81|A=87 su BA/FI, B=3 su NA|
19730217|lottofacile1|BA,VE|6|0|ambata:2;ambo:2-79;ambo:2-77;terzina:2-77-79|pos 3-4 somma 11|
19730217|lottofacile1|GE,PA|6|0|ambata:74;ambo:65-74;ambo:56-74;terzina:56-65-74|pos 1-4 somma 25|
19730217|lottofacile4|NA,PA|14|1|ambata:85;ambo:40-85;ambo:25-85;ambo:55-85;terzina:25-40-55|pos 1-4 diagonale|
19730217|lottofacile4|NA,TO|14|1|ambata:25;ambo:25-70;ambo:25-55;ambo:25-85;terzina:55-70-85|pos 2-4 verticale|
19730217|lottofacile1|PA,RM|6|0|ambata:64;ambo:31-64;ambo:13-64;terzina:13-31-64|pos 4-5 somma 59|
19730224|ambosecco_caotico|FI,PA,GE|2|1|ambo:14-15;ambo:24-88|A=16 su FI/PA, B=74 su GE|
19730224|ambosecco_caotico|GE,MI,VE,FI|2|1|ambo:43-69;ambo:43-82|A=77 su GE/MI/VE, B=13 su FI|
19730224|ambosecco_caotico|GE,RM,VE,BA|2|1|ambo:42-61;ambo:42-83|A=68 su GE/RM/VE, B=22 su BA|
19730224|lottofacile5|PA|9|0|ambata:48;ambata:3;ambo:23-48;ambo:48-68;ambo:3-23;ambo:3-68;quartina:23-48-53-83;quartina:8-38-48-68;quartina:3-23-53-83;quartina:3-8-38-68|rilevamento 16-61|potenza ridotta: ambata uscita negli ultimi 6 concorsi
19730224|lottofacile1|BA,MI|6|0|ambata:24;ambo:24-46;ambo:24-64;terzina:24-46-64|pos 1-2 somma 44|
19730224|lottofacile1|BA,VE|6|0|ambata:46;ambo:40-46;ambo:4-46;terzina:4-40-46|pos 1-5 somma 50|
19730224|lottofacile1|GE,PA|6|0|ambata:32;ambo:13-32;ambo:31-32;terzina:13-31-32|pos 1-2 somma 77|
19730303|ambosecco_caotico|FI,VE,GE,TO|2|1|ambo:20-63;ambo:20-83|A=70 su FI/VE, B=20 su GE/TO|
19730303|ambosecco_caotico|FI,NA,GE|2|1|ambo:2-68;ambo:78-89|A=2 su FI/NA, B=88 su GE|
19730303|ambosecco_caotico|GE,TO,FI,VE|2|1|ambo:18-70;ambo:70-88|A=20 su GE/TO, B=70 su FI/VE|
19730303|lottofacile5|GE|9|0|ambata:75;ambo:32-75;ambo:75-77;quartina:2-32-62-75;quartina:17-47-75-77|rilevamento 43-88|potenza ridotta: ambata uscita negli ultimi 6 concorsi
19730303|lottofacile5|RM|9|0|ambata:21;ambata:66;ambo:21-89;ambo:21-44;ambo:66-89;ambo:44-66;quartina:21-29-59-89;quartina:14-21-44-74;quartina:29-59-66-89;quartina:14-44-66-74|rilevamento 40-85|
19730303|lottofacile1|BA,MI|6|0|ambata:68;ambo:68-87;ambo:68-78;terzina:68-78-87|pos 1-2 somma 3|
19730303|lottofacile1|BA,VE|6|0|ambata:18;ambo:17-18;ambo:18-71;terzina:17-18-71|pos 3-5 somma 73|
19730303|lottofacile1|CA,MI|6|0|ambata:28;ambo:28-34;ambo:28-43;terzina:28-34-43|pos 2-3 somma 56|
19730303|fulmine|CA,PA|12|0|ambata:63;ambo:53-63;ambo:23-63;ambo:13-63;quartina:13-23-53-63|cadenza, coppie ((63, 13), (53, 23))|
19730303|lottofacile1|FI,TO|6|0|ambata:6;ambo:6-7;ambo:6-70;terzina:6-7-70|pos 2-5 somma 83|
19730303|lottofacile1|PA,RM|6|0|ambata:80;ambo:54-80;ambo:45-80;terzina:45-54-80|pos 1-3 somma 36|
19730310|ambosecco_caotico|BA,NA,TO,FI|2|1|ambo:4-24;ambo:14-87|A=26 su BA/NA/TO, B=64 su FI|
19730310|ambosecco_caotico|GE,TO,MI|2|1|ambo:2-68;ambo:78-89|A=2 su GE/TO, B=88 su MI|
19730310|lottofacile5|BA|9|0|ambata:78;ambo:43-78;ambo:78-88;quartina:13-43-73-78;quartina:28-58-78-88|rilevamento 26-71|potenza ridotta: ambata uscita negli ultimi 6 concorsi
19730310|lottofacile1|BA,MI|6|0|ambata:30;ambo:30-65;ambo:30-56;terzina:30-56-65|pos 2-4 somma 25|
19730310|lottofacile1|CA,TO|6|0|ambata:88;ambo:48-88;ambo:84-88;terzina:48-84-88|pos 3-5 somma 42|
19730310|lottofacile1|FI,NA|6|0|ambata:58;ambo:58-82;ambo:28-58;terzina:28-58-82|pos 2-5 somma 8|
19730310|lottofacile1|GE,VE|6|0|ambata:42;ambo:42-64;ambo:42-46;terzina:42-46-64|pos 2-4 somma 26|
19730310|lottofacile4|NA,TO|14|1|ambata:79;ambo:34-79;ambo:19-79;ambo:49-79;terzina:19-34-49|pos 2-3 diagonale|
19730317|ambosecco_caotico|BA,PA,VE|2|1|ambo:27-60;ambo:60-87|A=30 su BA/PA, B=60 su VE|
19730317|ambosecco_caotico|BA,NA,FI|2|1|ambo:41-84;ambo:84-85|A=46 su BA/NA, B=44 su FI|
19730317|ambosecco_caotico|FI,MI,PA|2|1|ambo:43-69;ambo:43-82|A=77 su FI/MI, B=13 su PA|
19730317|ambosecco_caotico|MI,NA,RM,GE|2|1|ambo:25-82;ambo:82-87|A=28 su MI/NA/RM, B=62 su GE|
19730317|ambosecco_caotico|MI,TO,RM|2|1|ambo:28-38;ambo:38-85|A=42 su MI/TO, B=48 su RM|
19730317|lottofacile1|GE,PA|6|0|ambata:26;ambo:8-26;ambo:26-80;terzina:8-26-80|pos 4-5 somma 82|
19730317|lottofacile1|NA,VE|6|0|ambata:64;ambo:64-88;ambo:64-89;terzina:64-88-89|pos 1-2 somma 2|
19730324|ambosecco_caotico|CA,RM,PA|2|1|ambo:22-79;ambo:22-81|A=88 su CA/RM, B=2 su PA|
19730324|ambosecco_caotico|FI,TO,VE|2|1|ambo:10-72;ambo:10-82|A=80 su FI/TO, B=10 su VE|
19730324|ambosecco_caotico|RM,VE,CA|2|1|ambo:42-61;ambo:42-83|A=68 su RM/VE, B=22 su CA|
19730324|lottofacile4|BA,PA|14|1|ambata:37;ambo:37-82;ambo:37-67;ambo:7-37;terzina:7-67-82|pos 2-3 diagonale|
19730324|lottofacile1|BA,PA|6|0|ambata:24;ambo:2-24;ambo:20-24;terzina:2-20-24|pos 2-3 somma 88|
