# Previsioni dei sei metodi sui concorsi del 1987.
# giorno|metodo|ruote|colpi|anche_tutte|sorti|nota|avviso
19870103|ambosecco_caotico|BA,VE,RM|2|1|ambo:4-24;ambo:14-87|A=26 su BA/VE, B=64 su RM|
19870103|ambosecco_caotico|FI,RM,NA|2|1|ambo:40-45;ambo:40-85|A=50 su FI/RM, B=40 su NA|
19870103|ambosecco_caotico|FI,MI,TO,CA|2|1|ambo:4-46;ambo:56-89|A=4 su FI/MI/TO, B=86 su CA|
19870103|ambosecco_caotico|FI,TO,PA|2|1|ambo:11-58;ambo:68-88|A=12 su FI/TO, B=78 su PA|
19870103|ambosecco_caotico|GE,VE,MI|2|1|ambo:41-53;ambo:41-84|A=59 su GE/VE, B=31 su MI|
19870103|ambosecco_caotico|NA,RM,FI|2|1|ambo:36-50;ambo:50-86|A=40 su NA/RM, B=50 su FI|
19870103|lottofacile5|TO|9|0|ambata:27;ambo:27-51;ambo:6-27;quartina:21-27-51-81;quartina:6-27-36-66|rilevamento 12-57|
19870103|lottofacile4|BA,TO|14|1|ambata:25;ambo:25-70;ambo:25-55;ambo:25-85;terzina:55-70-85|pos 1-3 verticale|
19870103|lottofacile1|FI,GE|6|0|ambata:36;ambo:36-65;ambo:36-56;terzina:36-56-65|pos 1-4 somma 25|
19870103|lottofacile1|FI,RM|6|0|ambata:34;ambo:34-78;ambo:34-87;terzina:34-78-87|pos 4-5 somma 12|
19870103|lottofacile1|GE,PA|6|0|ambata:10;ambo:10-25;ambo:10-52;terzina:10-25-52|pos 1-2 somma 65|
19870103|lottofacile1|MI,NA|6|0|ambata:12;ambo:12-42;ambo:12-24;terzina:12-24-42|pos 1-3 somma 48|
19870110|ambosecco_caotico|BA,TO,NA,VE|2|1|ambo:59-64;ambo:64-83|A=66 su BA/TO, B=24 su NA/VE|
19870110|ambosecco_caotico|MI,PA,NA|2|1|ambo:29-46;ambo:39-84|A=51 su MI/PA, B=39 su NA|
19870110|ambosecco_caotico|NA,VE,BA,TO|2|1|ambo:22-26;ambo:36-87|A=24 su NA/VE, B=66 su BA/TO|
19870110|lottofacile5|PA|9|0|ambata:45;ambo:42-45;ambo:45-87;quartina:12-42-45-72;quartina:27-45-57-87|rilevamento 3-48|potenza ridotta: ambata uscita negli ultimi 6 concorsi
19870110|lottofacile4|BA,RM|14|1|ambata:25;ambo:25-70;ambo:25-55;ambo:25-85;terzina:55-70-85|pos 3-4 diagonale|
19870110|lottofacile1|CA,MI|6|0|ambata:68;ambo:31-68;ambo:13-68;terzina:13-31-68|pos 1-5 somma 59|
19870110|lottofacile1|CA,PA|6|0|ambata:12;ambo:12-36;ambo:12-63;terzina:12-36-63|pos 2-4 somma 54|
19870110|lottofacile4|FI,VE|14|1|ambata:67;ambo:22-67;ambo:7-67;ambo:37-67;terzina:7-22-37|pos 1-3 orizzontale|
19870110|lottofacile1|NA,TO|6|0|ambata:86;ambo:12-86;ambo:21-86;terzina:12-21-86|pos 1-2 somma 78|
19870117|ambosecco_caotico|BA,FI,GE|2|1|ambo:16-31;ambo:26-86|A=34 su BA/FI, B=56 su GE|
19870117|ambosecco_caotico|CA,PA,NA|2|1|ambo:37-39;ambo:49-85|A=41 su CA/PA, B=49 su NA|
19870117|ambosecco_caotico|FI,GE,BA|2|1|ambo:50-74;ambo:74-84|A=56 su FI/GE, B=34 su BA|
19870117|ambosecco_caotico|TO,VE,FI|2|1|ambo:73-88;ambo:81-88|A=82 su TO/VE, B=8 su FI|
19870117|lottofacile1|BA,MI|6|0|ambata:30;ambo:30-45;ambo:30-54;terzina:30-45-54|pos 1-3 somma 45|
19870117|lottofacile1|BA,TO|6|0|ambata:14;ambo:14-24;ambo:14-42;terzina:14-24-42|pos 1-5 somma 66|
19870117|lottofacile4|GE,MI|14|1|ambata:81;ambo:36-81;ambo:21-81;ambo:51-81;terzina:21-36-51|pos 2-5 verticale|
19870117|lottofacile1|GE,MI|6|0|ambata:36;ambo:36-36;ambo:36-63|pos 2-5 somma 54|
19870117|lottofacile1|GE,RM|6|0|ambata:36;ambo:28-36;ambo:36-82;terzina:28-36-82|pos 4-5 somma 62|
19870117|lottofacile1|PA,RM|6|0|ambata:54;ambo:45-54;ambo:54-54|pos 3-4 somma 45|
19870124|ambosecco_caotico|FI,GE,NA,PA|2|1|ambo:6-40;ambo:16-85|A=44 su FI/GE/NA, B=46 su PA|
19870124|ambosecco_caotico|TO,VE,RM|2|1|ambo:11-80;ambo:11-81|A=89 su TO/VE, B=1 su RM|
19870124|ambosecco_caotico|TO,VE,FI|2|1|ambo:53-60;ambo:53-83|A=67 su TO/VE, B=23 su FI|
19870124|lottofacile5|MI|9|0|ambata:15;ambata:60;ambo:7-15;ambo:15-52;ambo:7-60;ambo:52-60;quartina:7-15-37-67;quartina:15-22-52-82;quartina:7-37-60-67;quartina:22-52-60-82|rilevamento 8-53|potenza ridotta: ambata uscita negli ultimi 6 concorsi
19870124|lottofacile5|RM|9|0|ambata:27;ambata:72;ambo:21-27;ambo:27-66;ambo:21-72;ambo:66-72;quartina:21-27-51-81;quartina:6-27-36-66;quartina:21-51-72-81;quartina:6-36-66-72|rilevamento 42-87|potenza ridotta: ambata uscita negli ultimi 6 concorsi
19870124|lottofacile5|TO|9|0|ambata:27;ambo:27-39;ambo:27-84;quartina:9-27-39-69;quartina:24-27-54-84|rilevamento 24-69|
19870124|lottofacile1|BA,RM|6|0|ambata:84;ambo:51-84;ambo:15-84;terzina:15-51-84|pos 1-3 somma 39|
19870124|lottofacile1|FI,NA|6|0|ambata:88;ambo:37-88;ambo:73-88;terzina:37-73-88|pos 1-3 somma 53|
19870124|lottofacile1|FI,NA|6|0|ambata:18;ambo:6-18;ambo:18-60;terzina:6-18-60|pos 3-4 somma 84|
19870124|lottofacile1|GE,NA|6|0|ambata:10;ambo:10-76;ambo:10-67;terzina:10-67-76|pos 2-3 somma 14|
19870124|lottofacile1|MI,NA|6|0|ambata:88;ambo:66-88;ambo:69-88;terzina:66-69-88|pos 1-5 somma 24|
19870131|ambosecco_caotico|BA,PA,MI|2|1|ambo:54-68;ambo:54-82|A=76 su BA/PA, B=14 su MI|
19870131|ambosecco_caotico|BA,NA,PA,MI|2|1|ambo:41-53;ambo:41-84|A=59 su BA/NA/PA, B=31 su MI|
19870131|ambosecco_caotico|MI,PA,BA|2|1|ambo:13-36;ambo:46-88|A=14 su MI/PA, B=76 su BA|
19870131|ambosecco_caotico|MI,TO,RM|2|1|ambo:44-51;ambo:51-85|A=49 su MI/TO, B=41 su RM|
19870131|lottofacile5|FI|9|0|ambata:30;ambo:30-32;ambo:30-77;quartina:2-30-32-62;quartina:17-30-47-77|rilevamento 43-88|
19870131|lottofacile5|PA|9|0|ambata:33;ambata:78;ambo:33-73;ambo:28-33;ambo:73-78;ambo:28-78;quartina:13-33-43-73;quartina:28-33-58-88;quartina:13-43-73-78;quartina:28-58-78-88|rilevamento 14-59|potenza ridotta: ambata uscita negli ultimi 6 concorsi
19870131|lottofacile5|RM|9|0|ambata:6;ambo:6-64;ambo:6-19;quartina:4-6-34-64;quartina:6-19-49-79|rilevamento 5-50|
19870131|lottofacile1|CA,FI|6|0|ambata:86;ambo:20-86;ambo:2-86;terzina:2-20-86|pos 2-3 somma 70|
19870131|lottofacile1|FI,NA|6|0|ambata:28;ambo:28-34;ambo:28-43;terzina:28-34-43|pos 4-5 somma 56|
19870131|lottofacile1|GE,MI|6|0|ambata:62;ambo:23-62;ambo:32-62;terzina:23-32-62|pos 2-3 somma 67|
19870131|lottofacile1|NA,VE|6|0|ambata:44;ambo:44-67;ambo:44-76;terzina:44-67-76|pos 1-5 somma 23|
19870131|lottofacile1|PA,VE|6|0|ambata:44;ambo:39-44;ambo:33-44;terzina:33-39-44|pos 1-2 somma 51|
19870131|lottofacile1|RM,TO|6|0|ambata:8;ambo:8-44;ambo:8-49;terzina:8-44-49|pos 1-4 somma 46|
19870207|ambosecco_caotico|NA,PA,RM,TO|2|1|ambo:2-8;ambo:12-89|A=8 su NA/PA, B=82 su RM/TO|
19870207|ambosecco_caotico|PA,TO,VE,FI|2|1|ambo:32-70;ambo:32-82|A=78 su PA/TO/VE, B=12 su FI|
19870207|ambosecco_caotico|RM,TO,NA,PA|2|1|ambo:73-88;ambo:81-88|A=82 su RM/TO, B=8 su NA/PA|
19870207|lottofacile5|FI|9|0|ambata:27;ambata:72;ambo:27-51;ambo:6-27;ambo:51-72;ambo:6-72;quartina:21-27-51-81;quartina:6-27-36-66;quartina:21-51-72-81;quartina:6-36-66-72|rilevamento 12-57|potenza ridotta: ambata uscita negli ultimi 6 concorsi
19870207|lottofacile5|TO|9|0|ambata:12;ambata:57;ambo:12-56;ambo:11-12;ambo:56-57;ambo:11-57;quartina:12-26-56-86;quartina:11-12-41-71;quartina:26-56-57-86;quartina:11-41-57-71|rilevamento 37-82|potenza ridotta: ambata uscita negli ultimi 6 concorsi
19870207|lottofacile5|VE|9|0|ambata:6;ambo:6-64;ambo:6-19;quartina:4-6-34-64;quartina:6-19-49-79|rilevamento 5-50|potenza ridotta: ambata uscita negli ultimi 6 concorsi
19870207|lottofacile1|NA,RM|6|0|ambata:12;ambo:12-54;ambo:12-45;terzina:12-45-54|pos 4-5 somma 36|
19870214|ambosecco_caotico|RM,TO,CA|2|1|ambo:11-58;ambo:68-88|A=12 su RM/TO, B=78 su CA|
