# Previsioni dei sei metodi sui concorsi del 1980.
# giorno|metodo|ruote|colpi|anche_tutte|sorti|nota|avviso
19800105|ambosecco_caotico|BA,CA,GE|10|1|ambo:30-54;ambo:30-84|A=60 su BA/CA, B=30 su GE|
19800105|ambosecco_caotico|GE,RM,VE|10|1|ambo:50-74;ambo:74-84|A=56 su GE/RM, B=34 su VE|
19800105|ambosecco_caotico|PA,TO,MI|10|1|ambo:8-56;ambo:18-83|A=62 su PA/TO, B=28 su MI|
19800105|lottofacile5|FI|10|0|ambata:48;ambo:38-48;ambo:48-83;quartina:8-38-48-68;quartina:23-48-53-83|rilevamento 19-64|
19800105|lottofacile5|MI|10|0|ambata:72;ambata:27;ambo:36-72;ambo:72-81;ambo:27-36;ambo:27-81;quartina:6-36-66-72;quartina:21-51-72-81;quartina:6-27-36-66;quartina:21-27-51-81|rilevamento 27-72|potenza ridotta: ambata uscita negli ultimi 6 concorsi
19800105|lottofacile1|FI,GE|10|0|ambata:60;ambo:7-60;ambo:60-70;terzina:7-60-70|pos 2-4 somma 83|
19800105|lottofacile1|FI,VE|10|0|ambata:42;ambo:42-58;ambo:42-85;terzina:42-58-85|pos 2-5 somma 32|
19800112|ambosecco_caotico|GE,VE,FI|10|1|ambo:57-86;ambo:83-86|A=64 su GE/VE, B=26 su FI|
19800112|ambosecco_caotico|NA,TO,FI|10|1|ambo:28-38;ambo:38-85|A=42 su NA/TO, B=48 su FI|
19800112|lottofacile4|BA,RM|14|1|ambata:59;ambo:14-59;ambo:59-89;ambo:29-59;terzina:14-29-89|pos 2-5 diagonale|
19800112|lottofacile1|NA,VE|10|0|ambata:18;ambo:18-85;ambo:18-58;terzina:18-58-85|pos 2-3 somma 5|
19800119|lottofacile5|BA|10|0|ambata:9;ambata:54;ambo:9-45;ambo:9-90;ambo:45-54;ambo:54-90;quartina:9-15-45-75;quartina:9-30-60-90;quartina:15-45-54-75;quartina:30-54-60-90|rilevamento 36-81|
19800119|lottofacile5|FI|10|0|ambata:78;ambo:73-78;ambo:28-78;quartina:13-43-73-78;quartina:28-58-78-88|rilevamento 41-86|potenza ridotta: ambata uscita negli ultimi 6 concorsi
19800119|lottofacile5|PA|10|0|ambata:78;ambata:33;ambo:43-78;ambo:78-88;ambo:33-43;ambo:33-88;quartina:13-43-73-78;quartina:28-58-78-88;quartina:13-33-43-73;quartina:28-33-58-88|rilevamento 26-71|potenza ridotta: ambata uscita negli ultimi 6 concorsi
19800119|lottofacile5|RM|10|0|ambata:36;ambata:81;ambo:36-54;ambo:9-36;ambo:54-81;ambo:9-81;quartina:24-36-54-84;quartina:9-36-39-69;quartina:24-54-81-84;quartina:9-39-69-81|rilevamento 45-90|potenza ridotta: ambata uscita negli ultimi 6 concorsi
19800119|lottofacile4|BA,MI|14|1|ambata:21;ambo:21-66;ambo:21-51;ambo:21-81;terzina:51-66-81|pos 1-2 diagonale|
19800119|lottofacile1|BA,MI|10|0|ambata:42;ambo:42-51;ambo:15-42;terzina:15-42-51|pos 1-2 somma 39|
19800119|fulmine|BA,NA|12|0|ambata:58;ambo:48-58;ambo:8-58;ambo:18-58;quartina:8-18-48-58|cadenza, coppie ((48, 18), (8, 58))|
19800119|lottofacile1|BA,PA|10|0|ambata:52;ambo:52-83;ambo:38-52;terzina:38-52-83|pos 3-5 somma 7|
19800119|fulmine|BA,RM|12|0|ambata:90;ambo:81-90;ambo:36-90;ambo:45-90;quartina:36-45-81-90|figura, coppie ((81, 45), (36, 90))|
