# Previsioni dei sei metodi sui concorsi del 1981.
# giorno|metodo|ruote|colpi|anche_tutte|sorti|nota|avviso
19810103|ambosecco_caotico|BA,CA,GE,NA|10|1|ambo:20-48;ambo:58-87|A=22 su BA/CA, B=68 su GE/NA|
19810103|ambosecco_caotico|BA,PA,RM,GE|10|1|ambo:55-76;ambo:55-81|A=85 su BA/PA/RM, B=5 su GE|
19810103|ambosecco_caotico|CA,NA,TO|10|1|ambo:10-72;ambo:10-82|A=80 su CA/NA, B=10 su TO|
19810103|ambosecco_caotico|CA,TO,VE|10|1|ambo:65-87;ambo:82-87|A=73 su CA/TO, B=17 su VE|
19810103|ambosecco_caotico|GE,NA,BA,CA|10|1|ambo:42-61;ambo:42-83|A=68 su GE/NA, B=22 su BA/CA|
19810103|ambosecco_caotico|MI,PA,VE|10|1|ambo:27-60;ambo:60-87|A=30 su MI/PA, B=60 su VE|
19810103|lottofacile5|VE|10|0|ambata:51;ambo:25-51;ambo:51-70;quartina:25-51-55-85;quartina:10-40-51-70|rilevamento 17-62|
19810103|lottofacile1|BA,MI|10|0|ambata:60;ambo:9-60;ambo:60-90;terzina:9-60-90|pos 1-4 somma 81|
19810103|lottofacile1|BA,MI|10|0|ambata:12;ambo:12-73;ambo:12-37;terzina:12-37-73|pos 4-5 somma 17|
19810103|lottofacile1|BA,RM|10|0|ambata:48;ambo:26-48;ambo:48-62;terzina:26-48-62|pos 3-4 somma 64|
19810103|lottofacile1|MI,NA|10|0|ambata:36;ambo:16-36;ambo:36-61;terzina:16-36-61|pos 1-3 somma 74|
19810103|lottofacile1|MI,NA|10|0|ambata:36;ambo:4-36;ambo:36-40;terzina:4-36-40|pos 1-5 somma 86|
19810103|lottofacile4|NA,VE|14|1|ambata:5;ambo:5-50;ambo:5-35;ambo:5-65;terzina:35-50-65|pos 2-4 verticale|
19810103|lottofacile1|NA,VE|10|0|ambata:30;ambo:10-30;ambo:1-30;terzina:1-10-30|pos 2-4 somma 80|
19810103|lottofacile1|TO,VE|10|0|ambata:34;ambo:34-53;ambo:34-35;terzina:34-35-53|pos 3-4 somma 37|
19810110|ambosecco_caotico|NA,PA,TO,VE,MI|10|1|ambo:27-30;ambo:37-86|A=33 su NA/PA/TO/VE, B=57 su MI|
19810110|lottofacile1|BA,CA|10|0|ambata:28;ambo:28-34;ambo:28-43;terzina:28-34-43|pos 2-4 somma 56|
19810110|fulmine|CA,VE|12|0|ambata:89;ambo:69-89;ambo:59-89;ambo:79-89;quartina:59-69-79-89|cadenza, coppie ((69, 79), (59, 89))|
19810110|lottofacile1|FI,PA|10|0|ambata:12;ambo:12-26;ambo:12-62;terzina:12-26-62|pos 2-5 somma 64|
19810110|lottofacile4|GE,PA|14|1|ambata:9;ambo:9-54;ambo:9-39;ambo:9-69;terzina:39-54-69|pos 3-4 verticale|
19810110|lottofacile1|NA,TO|10|0|ambata:66;ambo:49-66;ambo:44-66;terzina:44-49-66|pos 2-3 somma 41|
19810110|lottofacile4|PA,RM|14|1|ambata:15;ambo:15-60;ambo:15-45;ambo:15-75;terzina:45-60-75|pos 1-3 diagonale|
19810110|lottofacile1|PA,TO|10|0|ambata:74;ambo:45-74;ambo:54-74;terzina:45-54-74|pos 1-3 somma 45|
19810117|ambosecco_caotico|BA,FI,NA|10|1|ambo:5-35;ambo:45-89|A=5 su BA/FI, B=85 su NA|
19810117|ambosecco_caotico|BA,VE,PA|10|1|ambo:35-61;ambo:61-86|A=39 su BA/VE, B=51 su PA|
19810117|ambosecco_caotico|CA,PA,TO|10|1|ambo:36-50;ambo:50-86|A=40 su CA/PA, B=50 su TO|
19810117|ambosecco_caotico|CA,TO,VE|10|1|ambo:44-77;ambo:44-81|A=86 su CA/TO, B=4 su VE|
19810117|lottofacile1|BA,VE|10|0|ambata:22;ambo:22-85;ambo:22-58;terzina:22-58-85|pos 3-4 somma 5|
19810117|lottofacile1|FI,MI|10|0|ambata:42;ambo:42-57;ambo:42-75;terzina:42-57-75|pos 1-5 somma 33|
19810117|fulmine|FI,TO|12|0|ambata:86;ambo:41-86;ambo:5-86;ambo:50-86;quartina:5-41-50-86|figura, coppie ((41, 50), (5, 86))|
19810117|lottofacile1|GE,RM|10|0|ambata:42;ambo:42-68;ambo:42-86;terzina:42-68-86|pos 3-4 somma 22|
19810117|lottofacile4|GE,VE|14|1|ambata:15;ambo:15-60;ambo:15-45;ambo:15-75;terzina:45-60-75|pos 1-2 orizzontale|
19810117|lottofacile1|NA,TO|10|0|ambata:82;ambo:77-82;ambo:79-82;terzina:77-79-82|pos 2-4 somma 13|
19810124|ambosecco_caotico|BA,MI,GE|10|1|ambo:2-68;ambo:78-89|A=2 su BA/MI, B=88 su GE|
19810124|ambosecco_caotico|CA,VE,FI,MI|10|1|ambo:33-78;ambo:33-81|A=87 su CA/VE, B=3 su FI/MI|
19810124|ambosecco_caotico|FI,NA,TO|10|1|ambo:6-24;ambo:34-89|A=6 su FI/NA, B=84 su TO|
19810124|ambosecco_caotico|FI,MI,CA,VE|10|1|ambo:3-57;ambo:67-89|A=3 su FI/MI, B=87 su CA/VE|
19810124|ambosecco_caotico|RM,TO,BA|10|1|ambo:17-39;ambo:27-85|A=43 su RM/TO, B=47 su BA|
19810124|lottofacile5|BA|10|0|ambata:51;ambo:51-85;ambo:40-51;quartina:25-51-55-85;quartina:10-40-51-70|rilevamento 2-47|
19810124|lottofacile1|BA,RM|10|0|ambata:80;ambo:47-80;ambo:74-80;terzina:47-74-80|pos 2-3 somma 43|
19810124|lottofacile1|CA,FI|10|0|ambata:12;ambo:12-79;ambo:12-77;terzina:12-77-79|pos 1-2 somma 11|
19810124|lottofacile1|CA,MI|10|0|ambata:40;ambo:40-79;ambo:40-77;terzina:40-77-79|pos 1-2 somma 11|
19810124|lottofacile1|CA,VE|10|0|ambata:14;ambo:14-41;ambo:14-14|pos 3-5 somma 49|
19810124|lottofacile4|FI,MI|14|1|ambata:89;ambo:44-89;ambo:29-89;ambo:59-89;terzina:29-44-59|pos 1-2 diagonale|
19810124|lottofacile1|FI,MI|10|0|ambata:40;ambo:40-79;ambo:40-77;terzina:40-77-79|pos 1-2 somma 11|
19810124|lottofacile4|GE,VE|14|1|ambata:17;ambo:17-62;ambo:17-47;ambo:17-77;terzina:47-62-77|pos 4-5 diagonale|
19810124|lottofacile1|NA,TO|10|0|ambata:8;ambo:8-47;ambo:8-74;terzina:8-47-74|pos 3-5 somma 43|
19810124|lottofacile1|TO,VE|10|0|ambata:80;ambo:80-88;ambo:80-89;terzina:80-88-89|pos 1-3 somma 2|
19810124|lottofacile1|TO,VE|10|0|ambata:80;ambo:53-80;ambo:35-80;terzina:35-53-80|pos 1-5 somma 37|
19810131|lottofacile1|BA,MI|10|0|ambata:70;ambo:70-75;ambo:57-70;terzina:57-70-75|pos 1-5 somma 15|
19810131|lottofacile1|BA,RM|10|0|ambata:72;ambo:67-72;ambo:72-76;terzina:67-72-76|pos 3-4 somma 23|
19810131|lottofacile1|CA,PA|10|0|ambata:90;ambo:76-90;ambo:67-90;terzina:67-76-90|pos 4-5 somma 14|
19810131|lottofacile1|FI,RM|10|0|ambata:24;ambo:1-24;ambo:10-24;terzina:1-10-24|pos 2-4 somma 89|
19810131|lottofacile4|NA,PA|14|1|ambata:59;ambo:14-59;ambo:59-89;ambo:29-59;terzina:14-29-89|pos 2-4 diagonale|
19810131|fulmine|TO,VE|12|0|ambata:90;ambo:54-90;ambo:27-90;ambo:63-90;quartina:27-54-63-90|figura, coppie ((90, 27), (54, 63))|
19810207|ambosecco_caotico|BA,MI,TO|10|1|ambo:2-68;ambo:78-89|A=2 su BA/MI, B=88 su TO|
19810207|ambosecco_caotico|CA,GE,NA|10|1|ambo:28-49;ambo:59-86|A=31 su CA/GE, B=59 su NA|
19810207|lottofacile5|RM|10|0|ambata:78;ambata:33;ambo:43-78;ambo:78-88;ambo:33-43;ambo:33-88;quartina:13-43-73-78;quartina:28-58-78-88;quartina:13-33-43-73;quartina:28-33-58-88|rilevamento 26-71|potenza ridotta: ambata uscita negli ultimi 6 concorsi
19810207|lottofacile1|BA,FI|10|0|ambata:20;ambo:20-71;ambo:17-20;terzina:17-20-71|pos 4-5 somma 19|
19810207|lottofacile1|CA,NA|10|0|ambata:54;ambo:48-54;ambo:54-84;terzina:48-54-84|pos 3-4 somma 42|
19810207|fulmine|FI,TO|12|0|ambata:74;ambo:64-74;ambo:34-74;ambo:24-74;quartina:24-34-64-74|cadenza, coppie ((74, 24), (64, 34))|
19810207|fulmine|FI,TO|12|0|ambata:64;ambo:54-64;ambo:34-64;ambo:24-64;quartina:24-34-54-64|cadenza, coppie ((64, 24), (54, 34))|
19810207|lottofacile1|GE,PA|10|0|ambata:30;ambo:16-30;ambo:30-61;terzina:16-30-61|pos 1-4 somma 74|
19810207|lottofacile1|MI,RM|10|0|ambata:90;ambo:48-90;ambo:84-90;terzina:48-84-90|pos 1-4 somma 42|
19810207|lottofacile1|MI,RM|10|0|ambata:52;ambo:45-52;ambo:52-54;terzina:45-52-54|pos 2-3 somma 45|
19810207|lottofacile1|PA,TO|10|0|ambata:34;ambo:34-84;ambo:34-48;terzina:34-48-84|pos 2-4 somma 6|
19810207|lottofacile1|TO,VE|10|0|ambata:24;ambo:24-30;ambo:3-24;terzina:3-24-30|pos 1-2 somma 60|
19810214|ambosecco_caotico|BA,RM,TO|10|1|ambo:2-68;ambo:78-89|A=2 su BA/RM, B=88 su TO|
