# Previsioni dei sei metodi sui concorsi del 1997.
# giorno|metodo|ruote|colpi|anche_tutte|sorti|nota|avviso
19970104|ambosecco_caotico|CA,FI,MI,TO|10|1|ambo:44-51;ambo:51-85|A=49 su CA/FI/MI, B=41 su TO|
19970104|ambosecco_caotico|CA,RM,BA|10|1|ambo:2-8;ambo:12-89|A=8 su CA/RM, B=82 su BA|
19970104|lottofacile1|BA,FI|10|0|ambata:8;ambo:8-89;ambo:8-88;terzina:8-88-89|pos 3-5 somma 1|
19970104|lottofacile1|BA,NA|10|0|ambata:44;ambo:44-64;ambo:44-46;terzina:44-46-64|pos 2-4 somma 26|
19970104|lottofacile1|BA,PA|10|0|ambata:88;ambo:14-88;ambo:41-88;terzina:14-41-88|pos 1-5 somma 76|
19970104|lottofacile1|BA,RM|10|0|ambata:76;ambo:64-76;ambo:46-76;terzina:46-64-76|pos 2-4 somma 26|
19970104|lottofacile1|CA,FI|10|0|ambata:24;ambo:24-81;ambo:18-24;terzina:18-24-81|pos 4-5 somma 9|
19970104|lottofacile1|CA,MI|10|0|ambata:8;ambo:8-70;ambo:7-8;terzina:7-8-70|pos 2-3 somma 20|
19970104|lottofacile4|CA,VE|14|1|ambata:65;ambo:20-65;ambo:5-65;ambo:35-65;terzina:5-20-35|pos 2-4 orizzontale|
19970104|lottofacile1|FI,MI|10|0|ambata:32;ambo:32-74;ambo:32-47;terzina:32-47-74|pos 3-4 somma 16|
19970104|lottofacile1|NA,RM|10|0|ambata:76;ambo:64-76;ambo:46-76;terzina:46-64-76|pos 2-4 somma 26|
19970111|ambosecco_caotico|GE,NA,RM,CA|10|1|ambo:20-63;ambo:20-83|A=70 su GE/NA/RM, B=20 su CA|
19970111|ambosecco_caotico|MI,TO,RM|10|1|ambo:43-62;ambo:62-85|A=48 su MI/TO, B=42 su RM|
19970111|lottofacile5|RM|10|0|ambata:75;ambo:41-75;ambo:75-86;quartina:11-41-71-75;quartina:26-56-75-86|rilevamento 25-70|
19970111|lottofacile1|BA,NA|10|0|ambata:50;ambo:47-50;ambo:50-74;terzina:47-50-74|pos 3-5 somma 43|
19970111|lottofacile1|CA,GE|10|0|ambata:14;ambo:14-73;ambo:14-37;terzina:14-37-73|pos 1-3 somma 17|
19970111|fulmine|CA,GE|12|0|ambata:82;ambo:73-82;ambo:19-82;ambo:10-82;quartina:10-19-73-82|figura, coppie ((73, 19), (82, 10))|
19970111|lottofacile1|FI,GE|10|0|ambata:50;ambo:50-84;ambo:48-50;terzina:48-50-84|pos 4-5 somma 6|
19970111|lottofacile1|NA,VE|10|0|ambata:86;ambo:51-86;ambo:15-86;terzina:15-51-86|pos 1-4 somma 39|
19970118|lottofacile1|BA,PA|10|0|ambata:68;ambo:68-81;ambo:18-68;terzina:18-68-81|pos 3-4 somma 9|
19970118|lottofacile1|FI,MI|10|0|ambata:54;ambo:10-54;ambo:1-54;terzina:1-10-54|pos 1-3 somma 80|
19970118|lottofacile1|FI,PA|10|0|ambata:70;ambo:21-70;ambo:12-70;terzina:12-21-70|pos 2-3 somma 69|
