# Previsioni dei sei metodi sui concorsi del 1960.
# giorno|metodo|ruote|colpi|anche_tutte|sorti|nota|avviso
19600104|ambosecco_caotico|FI,GE,PA,TO|2|1|ambo:58-75;ambo:75-83|A=65 su FI/GE, B=25 su PA/TO|
19600104|ambosecco_caotico|NA,VE,PA|2|1|ambo:12-47;ambo:57-88|A=13 su NA/VE, B=77 su PA|
19600104|ambosecco_caotico|PA,TO,FI,GE|2|1|ambo:15-23;ambo:25-87|A=25 su PA/TO, B=65 su FI/GE|
19600104|ambosecco_caotico|RM,VE,BA|2|1|ambo:28-49;ambo:59-86|A=31 su RM/VE, B=59 su BA|
19600104|lottofacile5|FI|9|0|ambata:21;ambata:66;ambo:21-89;ambo:21-44;ambo:66-89;ambo:44-66;quartina:21-29-59-89;quartina:14-21-44-74;quartina:29-59-66-89;quartina:14-44-66-74|rilevamento 40-85|potenza ridotta: ambata uscita negli ultimi 6 concorsi
19600104|lottofacile1|BA,MI|6|0|ambata:2;ambo:2-71;ambo:2-17;terzina:2-17-71|pos 3-4 somma 19|
19600104|lottofacile1|BA,RM|6|0|ambata:62;ambo:41-62;ambo:14-62;terzina:14-41-62|pos 1-5 somma 49|
19600104|lottofacile1|NA,TO|6|0|ambata:12;ambo:12-31;ambo:12-13;terzina:12-13-31|pos 2-4 somma 59|
19600109|ambosecco_caotico|FI,RM,NA|2|1|ambo:6-40;ambo:16-85|A=44 su FI/RM, B=46 su NA|
19600109|lottofacile5|CA|9|0|ambata:48;ambata:3;ambo:38-48;ambo:48-83;ambo:3-38;ambo:3-83;quartina:8-38-48-68;quartina:23-48-53-83;quartina:3-8-38-68;quartina:3-23-53-83|rilevamento 19-64|
19600109|lottofacile1|CA,PA|6|0|ambata:34;ambo:7-34;ambo:34-70;terzina:7-34-70|pos 2-3 somma 83|
19600109|lottofacile1|FI,NA|6|0|ambata:2;ambo:2-21;ambo:2-12;terzina:2-12-21|pos 3-4 somma 69|
19600109|lottofacile1|FI,PA|6|0|ambata:56;ambo:56-76;ambo:56-67;terzina:56-67-76|pos 1-5 somma 14|
19600109|lottofacile1|PA,TO|6|0|ambata:68;ambo:58-68;ambo:68-85;terzina:58-68-85|pos 3-4 somma 32|
19600109|lottofacile4|RM,VE|14|1|ambata:59;ambo:14-59;ambo:59-89;ambo:29-59;terzina:14-29-89|pos 1-4 diagonale|
19600109|lottofacile1|RM,VE|6|0|ambata:58;ambo:19-58;ambo:11-58;terzina:11-19-58|pos 1-4 somma 71|
19600109|fulmine|TO,VE|12|0|ambata:84;ambo:34-84;ambo:74-84;ambo:24-84;quartina:24-34-74-84|cadenza, coppie ((84, 24), (34, 74))|
19600116|ambosecco_caotico|MI,TO,NA|2|1|ambo:21-71;ambo:21-82|A=79 su MI/TO, B=11 su NA|
19600116|ambosecco_caotico|MI,PA,FI|2|1|ambo:30-54;ambo:30-84|A=60 su MI/PA, B=30 su FI|
19600116|ambosecco_caotico|PA,RM,FI|2|1|ambo:31-62;ambo:31-83|A=69 su PA/RM, B=21 su FI|
19600116|lottofacile5|BA|9|0|ambata:87;ambo:79-87;ambo:34-87;quartina:19-49-79-87;quartina:4-34-64-87|rilevamento 44-89|
19600116|lottofacile5|GE|9|0|ambata:42;ambata:87;ambo:42-79;ambo:34-42;ambo:79-87;ambo:34-87;quartina:19-42-49-79;quartina:4-34-42-64;quartina:19-49-79-87;quartina:4-34-64-87|rilevamento 44-89|potenza ridotta: ambata uscita negli ultimi 6 concorsi
19600116|lottofacile5|PA|9|0|ambata:27;ambata:72;ambo:21-27;ambo:27-66;ambo:21-72;ambo:66-72;quartina:21-27-51-81;quartina:6-27-36-66;quartina:21-51-72-81;quartina:6-36-66-72|rilevamento 42-87|potenza ridotta: ambata uscita negli ultimi 6 concorsi
19600116|lottofacile1|BA,TO|6|0|ambata:48;ambo:48-77;ambo:48-79;terzina:48-77-79|pos 1-4 somma 13|
19600116|lottofacile1|BA,VE|6|0|ambata:74;ambo:64-74;ambo:46-74;terzina:46-64-74|pos 2-3 somma 26|
19600116|lottofacile1|CA,FI|6|0|ambata:42;ambo:42-70;ambo:7-42;terzina:7-42-70|pos 3-4 somma 20|
19600116|lottofacile1|FI,MI|6|0|ambata:68;ambo:38-68;ambo:68-83;terzina:38-68-83|pos 1-4 somma 52|
19600116|lottofacile1|GE,MI|6|0|ambata:68;ambo:29-68;ambo:22-68;terzina:22-29-68|pos 1-2 somma 61|
19600116|lottofacile1|GE,TO|6|0|ambata:48;ambo:34-48;ambo:43-48;terzina:34-43-48|pos 1-5 somma 56|
19600123|ambosecco_caotico|CA,TO,VE,FI|2|1|ambo:10-69;ambo:79-88|A=11 su CA/TO/VE, B=79 su FI|
19600123|ambosecco_caotico|NA,TO,MI|2|1|ambo:8-56;ambo:18-83|A=62 su NA/TO, B=28 su MI|
19600123|lottofacile5|BA|9|0|ambata:75;ambo:41-75;ambo:75-86;quartina:11-41-71-75;quartina:26-56-75-86|rilevamento 25-70|
19600123|lottofacile5|CA|9|0|ambata:6;ambata:51;ambo:6-64;ambo:6-19;ambo:51-64;ambo:19-51;quartina:4-6-34-64;quartina:6-19-49-79;quartina:4-34-51-64;quartina:19-49-51-79|rilevamento 5-50|
19600123|lottofacile1|BA,MI|6|0|ambata:82;ambo:82-85;ambo:58-82;terzina:58-82-85|pos 1-3 somma 5|
19600123|lottofacile1|CA,GE|6|0|ambata:2;ambo:2-32;ambo:2-23;terzina:2-23-32|pos 3-5 somma 58|
19600123|lottofacile1|CA,TO|6|0|ambata:90;ambo:73-90;ambo:37-90;terzina:37-73-90|pos 2-5 somma 17|
19600130|ambosecco_caotico|BA,NA,VE|2|1|ambo:29-46;ambo:39-84|A=51 su BA/NA, B=39 su VE|
19600130|ambosecco_caotico|BA,RM,CA|2|1|ambo:30-54;ambo:30-84|A=60 su BA/RM, B=30 su CA|
19600130|ambosecco_caotico|CA,NA,RM|2|1|ambo:41-84;ambo:84-85|A=46 su CA/NA, B=44 su RM|
19600130|ambosecco_caotico|CA,RM,BA|2|1|ambo:27-60;ambo:60-87|A=30 su CA/RM, B=60 su BA|
19600130|ambosecco_caotico|RM,VE,TO|2|1|ambo:13-36;ambo:46-88|A=14 su RM/VE, B=76 su TO|
